LONGITUDE,UNITS,AVAILABILITYCOUNT,DETAILURL,LISTINGSTATUS,BUILDINGNAME,ADDRESS,LATITUDE,ISBUILDING,BATHROOMS,PROPERTYTYPE,LIVINGAREA,PRICE,BEDROOMS,DAYSONZILLOW,DATEPRICECHANGED,COUNTRY,CURRENCY,BEDS,PRICE_1,INGESTION_DATE
-86.75594,,3.0,/APARTMENTS/NASHVILLE-TN/AMPLIFY-ON-MAIN/63FN5G/,FOR_RENT,AMPLIFY ON MAIN,"30 MCFERRIN AVE, NASHVILLE, TN",36.176857,TRUE,,,,,,,,,,2,"$2,050+",20251018
-86.75014,,28.0,/APARTMENTS/NASHVILLE-TN/THE-CLEO/CKBMD5/,FOR_RENT,THE CLEO,"1034 W EASTLAND AVE, NASHVILLE, TN",36.183807,TRUE,,,,,,,,,,1,"$1,610+",20251018
-86.7403,,,/HOMEDETAILS/1621-RUSSELL-ST-B-NASHVILLE-TN-37206/2071562271_ZPID/,FOR_RENT,,"1621 RUSSELL ST #B, NASHVILLE, TN 37206",36.174545,,2.0,APARTMENT,1400.0,2350.0,2.0,3.0,,USA,USD,,,20251018
-86.7308,,,/HOMEDETAILS/2028-GREENWOOD-CIR-A-NASHVILLE-TN-37206/457399468_ZPID/,FOR_RENT,,"2028 GREENWOOD CIR #A, NASHVILLE, TN 37206",36.189617,,1.0,APARTMENT,925.0,1675.0,2.0,3.0,,USA,USD,,,20251018
-86.7447,,,/HOMEDETAILS/1114-SHARPE-AVE-FLOOR-A-1-NASHVILLE-TN-37206/2072490492_ZPID/,FOR_RENT,,"1114 SHARPE AVE FLOOR A-1, NASHVILLE, TN 37206",36.188618,,1.0,APARTMENT,1000.0,2500.0,2.0,5.0,,USA,USD,,,20251018
-86.72694,,,/HOMEDETAILS/1110-RIVERSIDE-DR-A-NASHVILLE-TN-37206/457332126_ZPID/,FOR_RENT,,"1110 RIVERSIDE DR #A, NASHVILLE, TN 37206",36.18788,,1.0,APARTMENT,1000.0,1750.0,2.0,6.0,1760684400000.0,USA,USD,,,20251018
-86.754814,,,/HOMEDETAILS/934-MCFERRIN-AVE-ID1049676P-NASHVILLE-TN-37206/450852474_ZPID/,FOR_RENT,,"934 MCFERRIN AVE #ID1049676P, NASHVILLE, TN 37206",36.18591,,1.0,APARTMENT,742.0,2130.0,1.0,8.0,,USA,USD,,,20251018
-86.76498,,15.0,/APARTMENTS/NASHVILLE-TN/EASTSIDE-HEIGHTS/CH3FFN/,FOR_RENT,EASTSIDE HEIGHTS,"120 S 5TH ST, NASHVILLE, TN",36.171116,TRUE,,,,,,,,,,1,"$1,641+",20251018
-86.75157,,,/HOMEDETAILS/616-S-11TH-ST-NASHVILLE-TN-37206/41117784_ZPID/,FOR_RENT,,"616 S 11TH ST, NASHVILLE, TN 37206",36.16834,,2.0,SINGLE_FAMILY,1036.0,2600.0,2.0,10.0,1760425200000.0,USA,USD,,,20251018
-86.72836,,,/HOMEDETAILS/1310-PORTER-RD-B-NASHVILLE-TN-37206/457239705_ZPID/,FOR_RENT,,"1310 PORTER RD #B, NASHVILLE, TN 37206",36.190857,,2.0,APARTMENT,1374.0,2399.0,2.0,11.0,1760511600000.0,USA,USD,,,20251018
-86.73515,,,/HOMEDETAILS/304-MANCHESTER-AVE-304A-NASHVILLE-TN-37206/457229525_ZPID/,FOR_RENT,,"304 MANCHESTER AVE #304A, NASHVILLE, TN 37206",36.18675,,1.0,APARTMENT,900.0,1895.0,2.0,12.0,1760338800000.0,USA,USD,,,20251018
-86.75066,,,/HOMEDETAILS/1110-LENORE-ST-NASHVILLE-TN-37206/41117927_ZPID/,FOR_RENT,,"1110 LENORE ST, NASHVILLE, TN 37206",36.164913,,1.0,SINGLE_FAMILY,775.0,1850.0,2.0,12.0,,USA,USD,,,20251018
-86.73635,,,/HOMEDETAILS/1905-RUSSELL-ST-NASHVILLE-TN-37206/41105699_ZPID/,FOR_RENT,,"1905 RUSSELL ST, NASHVILLE, TN 37206",36.174168,,1.0,SINGLE_FAMILY,1000.0,2750.0,2.0,15.0,,USA,USD,,,20251018
-86.751205,,,/HOMEDETAILS/920-WEST-AVE-NASHVILLE-TN-37206/41088492_ZPID/,FOR_RENT,,"920 WEST AVE, NASHVILLE, TN 37206",36.193886,,1.0,SINGLE_FAMILY,1300.0,1900.0,2.0,18.0,1760511600000.0,USA,USD,,,20251018
-86.729805,,,/HOMEDETAILS/720-POWERS-AVE-NASHVILLE-TN-37206/41103691_ZPID/,FOR_RENT,,"720 POWERS AVE, NASHVILLE, TN 37206",36.184082,,1.0,SINGLE_FAMILY,1149.0,2195.0,2.0,19.0,,USA,USD,,,20251018
-86.742874,,,/HOMEDETAILS/1007B-N-14TH-ST-NASHVILLE-TN-37206/71265413_ZPID/,FOR_RENT,,"1007B N 14TH ST, NASHVILLE, TN 37206",36.187344,,2.0,SINGLE_FAMILY,1100.0,2250.0,2.0,20.0,1760511600000.0,USA,USD,,,20251018
-86.73088,,2.0,/APARTMENTS/NASHVILLE-TN/HERITAGE-EAST/CMPFW5/,FOR_RENT,HERITAGE EAST,"821 PORTER RD, NASHVILLE, TN",36.185074,TRUE,,,,,,,,,,1,"$1,975+",20251018
-86.73928,,,/HOMEDETAILS/1206-CHESTER-AVE-A-NASHVILLE-TN-37206/2087959149_ZPID/,FOR_RENT,,"1206 CHESTER AVE #A, NASHVILLE, TN 37206",36.1949,,1.0,APARTMENT,700.0,1750.0,2.0,24.0,,USA,USD,,,20251018
-86.727425,,,/HOMEDETAILS/809-WASHINGTON-AVE-NASHVILLE-TN-37206/41103623_ZPID/,FOR_RENT,,"809 WASHINGTON AVE, NASHVILLE, TN 37206",36.185547,,1.0,SINGLE_FAMILY,768.0,2300.0,2.0,25.0,,USA,USD,,,20251018
-86.75331,,,/HOMEDETAILS/911-CHICAMAUGA-AVE-A-NASHVILLE-TN-37206/456822801_ZPID/,FOR_RENT,,"911 CHICAMAUGA AVE #A, NASHVILLE, TN 37206",36.185493,,1.0,TOWNHOUSE,975.0,1750.0,2.0,29.0,,USA,USD,,,20251018
-86.736824,,,/HOMEDETAILS/1104-MATTHEWS-PL-NASHVILLE-TN-37206/41102176_ZPID/,FOR_RENT,,"1104 MATTHEWS PL, NASHVILLE, TN 37206",36.18825,,1.0,SINGLE_FAMILY,912.0,2650.0,2.0,40.0,1759820400000.0,USA,USD,,,20251018
-86.73883,,,/HOMEDETAILS/1801-SHELBY-AVE-NASHVILLE-TN-37206/2092538456_ZPID/,FOR_RENT,,"1801 SHELBY AVE, NASHVILLE, TN 37206",36.170406,,2.0,SINGLE_FAMILY,1056.0,2450.0,2.0,47.0,,USA,USD,,,20251018
-86.76451,,14.0,/APARTMENTS/NASHVILLE-TN/2115-YEAMAN-PL/5XRJPZ/,FOR_RENT,,"2115 YEAMAN PL, NASHVILLE, TN",36.173386,TRUE,,,,,,,,,,1,"$1,700+",20251018
-86.750946,,,/HOMEDETAILS/1104-DEW-ST-A-NASHVILLE-TN-37206/455950567_ZPID/,FOR_RENT,,"1104 DEW ST #A, NASHVILLE, TN 37206",36.16594,,1.0,TOWNHOUSE,800.0,1650.0,2.0,65.0,1759388400000.0,USA,USD,,,20251018
-86.73813,,,/HOMEDETAILS/413B-LOCKLAND-DR-NASHVILLE-TN-37206/455045320_ZPID/,FOR_RENT,,"413B LOCKLAND DR, NASHVILLE, TN 37206",36.180134,,2.0,SINGLE_FAMILY,1042.0,2200.0,2.0,95.0,1756450800000.0,USA,USD,,,20251018
-86.72449,,,/HOMEDETAILS/215-PORTER-VILLAGE-CIR-NASHVILLE-TN-37206/244633945_ZPID/,FOR_RENT,,"215 PORTER VILLAGE CIR, NASHVILLE, TN 37206",36.19422,,4.0,TOWNHOUSE,1612.0,2299.0,2.0,96.0,1759906800000.0,USA,USD,,,20251018
-86.76151,,,/APARTMENTS/NASHVILLE-TN/BELVEDERE/9DRSDT/,FOR_RENT,,"BELVEDERE, 604 RUSSELL ST, NASHVILLE, TN 37206",36.171516,,1.0,APARTMENT,867.0,2199.0,2.0,102.0,1760598000000.0,USA,USD,,,20251018
-86.721596,,,/HOMEDETAILS/2411-CHAPMAN-DR-NASHVILLE-TN-37206/41105009_ZPID/,FOR_RENT,,"2411 CHAPMAN DR, NASHVILLE, TN 37206",36.179245,,1.0,SINGLE_FAMILY,1464.0,2550.0,2.0,129.0,1757660400000.0,USA,USD,,,20251018
-86.737,,,/HOMEDETAILS/1530-DOUGLAS-AVE-NASHVILLE-TN-37206/41102103_ZPID/,FOR_RENT,,"1530 DOUGLAS AVE, NASHVILLE, TN 37206",36.19159,,1.0,SINGLE_FAMILY,1132.0,2900.0,2.0,0.0,1759906800000.0,USA,USD,,,20251018
-86.75358,,,/HOMEDETAILS/925-FATHERLAND-ST-B-NASHVILLE-TN-37206/2075154256_ZPID/,FOR_RENT,,"925 FATHERLAND ST #B, NASHVILLE, TN 37206",36.173977,,1.0,APARTMENT,785.0,2700.0,2.0,1.0,,USA,USD,,,20251018
-86.71145,,,/HOMEDETAILS/813-BETH-DR-NASHVILLE-TN-37206/457480750_ZPID/,FOR_RENT,,"813 BETH DR, NASHVILLE, TN 37206",36.179996,,2.0,TOWNHOUSE,900.0,1695.0,2.0,1.0,,USA,USD,,,20251018
